year,field_of_study,major,students
2010,Humanities,Philosophy and Religious Studies,2215.0
2010,Humanities,Theology and Religious Vocations,2410.0
2010,Intensive English,Intensive English,32306.0
2010,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1093.0
2010,Legal Studies and Law Enforcement,Legal Professions and Studies,9656.0
2010,Math and Computer Science,Computer and Information Sciences,46849.0
2010,Math and Computer Science,Mathematics and Statistics,17739.0
2010,Other Fields of Study,Basic Skills,
2010,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3676.0
2010,Other Fields of Study,Liberal Arts and Sciences/General Studies,36856.0
2010,Other Fields of Study,Library Science,431.0
2010,Other Fields of Study,Multi/Interdisciplinary Studies,9663.0
2010,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",3909.0
2010,Other Fields of Study,Personal and Culinary Services,1317.0
2010,Other Fields of Study,Reserve Officer Training Corps,96.0
2010,Physical and Life Sciences,Biological and Biomedical Sciences,34784.0
2010,Physical and Life Sciences,Physical Sciences,27674.0
2010,Physical and Life Sciences,Science Technologies/Technicians,1013.0
2010,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2317.0
2010,Social Sciences,History,2289.0
2010,Social Sciences,Psychology,9569.0
2010,Social Sciences,Public Administration and Social Service Professions,6763.0
2010,Social Sciences,Social Sciences,37407.0
2010,Undeclared,Undeclared,19898.0
2011,Agriculture,Agriculture,6535.0
2011,Agriculture,Natural Resources and Conservation,3215.0
2011,Business and Management,Business and Management,164943.0
2011,Communications and Journalism,"Communication, Journalism",13169.0
2011,Communications and Journalism,Communications Technologies/Technicians,2538.0
2011,Education,Education,17200.0
2011,Engineering,Construction Trades,157.0
2011,Engineering,Engineering,132414.0
2011,Engineering,Engineering Technologies/Technicians,6504.0
2011,Engineering,Mechanic and Repair Technologies/Technicians,527.0
2011,Engineering,Military Technologies,28.0
2011,Engineering,Precision Production,40.0
2011,Engineering,Transportation and Materials Moving,1643.0
2011,Fine and Applied Arts,Architecture,9992.0
2011,Fine and Applied Arts,Visual and Performing Arts,31718.0
2011,Health Professions,Health Professions,29535.0
2011,Health Professions,Residency Programs,287.0
2011,Humanities,English Language and Literature/Letters,5018.0
2011,Humanities,"Foreign Languages, Literatures and Linguistics",6498.0
2011,Humanities,Philosophy and Religious Studies,2237.0
2011,Humanities,Theology and Religious Vocations,2541.0
2011,Intensive English,Intensive English,38887.0
2011,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1406.0
2011,Legal Studies and Law Enforcement,Legal Professions and Studies,9779.0
2011,Math and Computer Science,Computer and Information Sciences,51333.0
2011,Math and Computer Science,Mathematics and Statistics,20031.0
2011,Other Fields of Study,Basic Skills,
2011,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3452.0
2011,Other Fields of Study,Liberal Arts and Sciences/General Studies,36919.0
2011,Other Fields of Study,Library Science,378.0
2011,Other Fields of Study,Multi/Interdisciplinary Studies,10701.0
2011,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",3783.0
2011,Other Fields of Study,Personal and Culinary Services,1790.0
2011,Other Fields of Study,Reserve Officer Training Corps,1.0
2011,Physical and Life Sciences,Biological and Biomedical Sciences,35815.0
2011,Physical and Life Sciences,Physical Sciences,29281.0
2011,Physical and Life Sciences,Science Technologies/Technicians,911.0
2011,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2181.0
2011,Social Sciences,History,2177.0
2011,Social Sciences,Psychology,10239.0
2011,Social Sciences,Public Administration and Social Service Professions,7136.0
2011,Social Sciences,Social Sciences,39241.0
2011,Undeclared,Undeclared,22315.0
2012,Agriculture,Agriculture,7043.0
2012,Agriculture,Natural Resources and Conservation,3420.0
2012,Business and Management,Business and Management,177741.0
2012,Communications and Journalism,"Communication, Journalism",14938.0
2012,Communications and Journalism,Communications Technologies/Technicians,2559.0
2012,Education,Education,17011.0
2012,Engineering,Construction Trades,150.0
2012,Engineering,Engineering,144805.0
2012,Engineering,Engineering Technologies/Technicians,6553.0
2012,Engineering,Mechanic and Repair Technologies/Technicians,455.0
2012,Engineering,Military Technologies,53.0
2012,Engineering,Precision Production,62.0
2012,Engineering,Transportation and Materials Moving,2161.0
2012,Fine and Applied Arts,Architecture,10918.0
2012,Fine and Applied Arts,Visual and Performing Arts,34932.0
2012,Health Professions,Health Professions,31222.0
2012,Health Professions,Residency Programs,249.0
2012,Humanities,English Language and Literature/Letters,5196.0
2012,Humanities,"Foreign Languages, Literatures and Linguistics",6774.0
2012,Humanities,Philosophy and Religious Studies,2122.0
2012,Humanities,Theology and Religious Vocations,3029.0
2012,Intensive English,Intensive English,39990.0
2012,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1343.0
2012,Legal Studies and Law Enforcement,Legal Professions and Studies,9955.0
2012,Math and Computer Science,Computer and Information Sciences,53953.0
2012,Math and Computer Science,Mathematics and Statistics,23607.0
2012,Other Fields of Study,Basic Skills,1443.0
2012,Other Fields of Study,Family and Consumer Sciences/Human Sciences,4116.0
2012,Other Fields of Study,Liberal Arts and Sciences/General Studies,35172.0
2012,Other Fields of Study,Library Science,393.0
2012,Other Fields of Study,Multi/Interdisciplinary Studies,10991.0
2012,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",4145.0
2012,Other Fields of Study,Personal and Culinary Services,1243.0
2012,Other Fields of Study,Reserve Officer Training Corps,7.0
2012,Physical and Life Sciences,Biological and Biomedical Sciences,36780.0
2012,Physical and Life Sciences,Physical Sciences,31352.0
2012,Physical and Life Sciences,Science Technologies/Technicians,1020.0
2012,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2298.0
2012,Social Sciences,History,2313.0
2012,Social Sciences,Psychology,11271.0
2012,Social Sciences,Public Administration and Social Service Professions,7602.0
2012,Social Sciences,Social Sciences,44302.0
2012,Undeclared,Undeclared,24955.0
2013,Agriculture,Agriculture,7114.0
2013,Agriculture,Natural Resources and Conservation,3521.0
2013,Business and Management,Business and Management,188179.0
2013,Communications and Journalism,"Communication, Journalism",15851.0
2013,Communications and Journalism,Communications Technologies/Technicians,2827.0
2013,Education,Education,17879.0
2013,Engineering,Construction Trades,203.0
2013,Engineering,Engineering,160128.0
2013,Engineering,Engineering Technologies/Technicians,7310.0
2013,Engineering,Mechanic and Repair Technologies/Technicians,581.0
2013,Engineering,Military Technologies,10.0
2013,Engineering,Precision Production,54.0
2013,Engineering,Transportation and Materials Moving,1903.0
2013,Fine and Applied Arts,Architecture,12105.0
2013,Fine and Applied Arts,Visual and Performing Arts,39090.0
2013,Health Professions,Health Professions,31527.0
2013,Health Professions,Residency Programs,427.0
2013,Humanities,English Language and Literature/Letters,5446.0
2013,Humanities,"Foreign Languages, Literatures and Linguistics",7079.0
2013,Humanities,Philosophy and Religious Studies,2173.0
2013,Humanities,Theology and Religious Vocations,3232.0
2013,Intensive English,Intensive English,43456.0
2013,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1830.0
2013,Legal Studies and Law Enforcement,Legal Professions and Studies,10872.0
2013,Math and Computer Science,Computer and Information Sciences,65291.0
2013,Math and Computer Science,Mathematics and Statistics,26143.0
2013,Other Fields of Study,Basic Skills,2092.0
2013,Other Fields of Study,Family and Consumer Sciences/Human Sciences,4056.0
2013,Other Fields of Study,Liberal Arts and Sciences/General Studies,39137.0
2013,Other Fields of Study,Library Science,402.0
2013,Other Fields of Study,Multi/Interdisciplinary Studies,12197.0
2013,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",4228.0
2013,Other Fields of Study,Personal and Culinary Services,1132.0
2013,Other Fields of Study,Reserve Officer Training Corps,13.0
2013,Physical and Life Sciences,Biological and Biomedical Sciences,37357.0
2013,Physical and Life Sciences,Physical Sciences,32187.0
2013,Physical and Life Sciences,Science Technologies/Technicians,935.0
2013,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2616.0
2013,Social Sciences,History,2445.0
2013,Social Sciences,Psychology,12060.0
2013,Social Sciences,Public Administration and Social Service Professions,8089.0
2013,Social Sciences,Social Sciences,47180.0
2013,Undeclared,Undeclared,25695.0
2014,Agriculture,Agriculture,8271.0
2014,Agriculture,Natural Resources and Conservation,4007.0
2014,Business and Management,Business and Management,197258.0
2014,Communications and Journalism,"Communication, Journalism",16964.0
2014,Communications and Journalism,Communications Technologies/Technicians,3197.0
2014,Education,Education,17675.0
2014,Engineering,Construction Trades,183.0
2014,Engineering,Engineering,184603.0
2014,Engineering,Engineering Technologies/Technicians,9149.0
2014,Engineering,Mechanic and Repair Technologies/Technicians,538.0
2014,Engineering,Military Technologies,16.0
2014,Engineering,Precision Production,69.0
2014,Engineering,Transportation and Materials Moving,2192.0
2014,Fine and Applied Arts,Architecture,13507.0
2014,Fine and Applied Arts,Visual and Performing Arts,43251.0
2014,Health Professions,Health Professions,33247.0
2014,Health Professions,Residency Programs,152.0
2014,Humanities,English Language and Literature/Letters,5340.0
2014,Humanities,"Foreign Languages, Literatures and Linguistics",7389.0
2014,Humanities,Philosophy and Religious Studies,2101.0
2014,Humanities,Theology and Religious Vocations,2674.0
2014,Intensive English,Intensive English,49233.0
2014,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2002.0
2014,Legal Studies and Law Enforcement,Legal Professions and Studies,11776.0
2014,Math and Computer Science,Computer and Information Sciences,83241.0
2014,Math and Computer Science,Mathematics and Statistics,29709.0
2014,Other Fields of Study,Basic Skills,2705.0
2014,Other Fields of Study,Family and Consumer Sciences/Human Sciences,4158.0
2014,Other Fields of Study,Liberal Arts and Sciences/General Studies,45762.0
2014,Other Fields of Study,Library Science,301.0
2014,Other Fields of Study,Multi/Interdisciplinary Studies,14912.0
2014,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",4252.0
2014,Other Fields of Study,Personal and Culinary Services,1078.0
2014,Other Fields of Study,Reserve Officer Training Corps,8.0
2014,Physical and Life Sciences,Biological and Biomedical Sciences,39294.0
2014,Physical and Life Sciences,Physical Sciences,33607.0
2014,Physical and Life Sciences,Science Technologies/Technicians,937.0
2014,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2504.0
2014,Social Sciences,History,2420.0
2014,Social Sciences,Psychology,12840.0
2014,Social Sciences,Public Administration and Social Service Professions,8816.0
2014,Social Sciences,Social Sciences,49371.0
2014,Undeclared,Undeclared,24217.0
2015,Agriculture,Agriculture,8043.0
2015,Agriculture,Natural Resources and Conservation,4275.0
2015,Business and Management,Business and Management,200312.0
2015,Communications and Journalism,"Communication, Journalism",18483.0
2015,Communications and Journalism,Communications Technologies/Technicians,2677.0
2015,Education,Education,19483.0
2015,Engineering,Construction Trades,255.0
2015,Engineering,Engineering,201145.0
2015,Engineering,Engineering Technologies/Technicians,12871.0
2015,Engineering,Mechanic and Repair Technologies/Technicians,671.0
2015,Engineering,Military Technologies,116.0
2015,Engineering,Precision Production,75.0
2015,Engineering,Transportation and Materials Moving,1799.0
2015,Fine and Applied Arts,Architecture,14131.0
2015,Fine and Applied Arts,Visual and Performing Arts,45605.0
2015,Health Professions,Health Professions,33646.0
2015,Health Professions,Residency Programs,301.0
2015,Humanities,English Language and Literature/Letters,5052.0
2015,Humanities,"Foreign Languages, Literatures and Linguistics",7298.0
2015,Humanities,Philosophy and Religious Studies,2170.0
2015,Humanities,Theology and Religious Vocations,3144.0
2015,Intensive English,Intensive English,40877.0
2015,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2368.0
2015,Legal Studies and Law Enforcement,Legal Professions and Studies,12709.0
2015,Math and Computer Science,Computer and Information Sciences,107682.0
2015,Math and Computer Science,Mathematics and Statistics,33969.0
2015,Other Fields of Study,Basic Skills,3101.0
2015,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3869.0
2015,Other Fields of Study,Liberal Arts and Sciences/General Studies,50360.0
2015,Other Fields of Study,Library Science,350.0
2015,Other Fields of Study,Multi/Interdisciplinary Studies,17795.0
2015,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",5083.0
2015,Other Fields of Study,Personal and Culinary Services,737.0
2015,Other Fields of Study,Reserve Officer Training Corps,23.0
2015,Physical and Life Sciences,Biological and Biomedical Sciences,40184.0
2015,Physical and Life Sciences,Physical Sciences,33525.0
2015,Physical and Life Sciences,Science Technologies/Technicians,1676.0
2015,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2656.0
2015,Social Sciences,History,3150.0
2015,Social Sciences,Psychology,14189.0
2015,Social Sciences,Public Administration and Social Service Professions,8741.0
2015,Social Sciences,Social Sciences,52568.0
2015,Undeclared,Undeclared,26675.0
2016,Agriculture,Agriculture,7798.0
2016,Agriculture,Natural Resources and Conservation,4804.0
2016,Business and Management,Business and Management,200754.0
2016,Communications and Journalism,"Communication, Journalism",18622.0
2016,Communications and Journalism,Communications Technologies/Technicians,3291.0
2016,Education,Education,17993.0
2016,Engineering,Construction Trades,276.0
2016,Engineering,Engineering,212140.0
2016,Engineering,Engineering Technologies/Technicians,15309.0
2016,Engineering,Mechanic and Repair Technologies/Technicians,659.0
2016,Engineering,Military Technologies,267.0
2016,Engineering,Precision Production,85.0
2016,Engineering,Transportation and Materials Moving,1975.0
2016,Fine and Applied Arts,Architecture,15332.0
2016,Fine and Applied Arts,Visual and Performing Arts,46174.0
2016,Health Professions,Health Professions,34181.0
2016,Health Professions,Residency Programs,214.0
2016,Humanities,English Language and Literature/Letters,5105.0
2016,Humanities,"Foreign Languages, Literatures and Linguistics",7521.0
2016,Humanities,Philosophy and Religious Studies,2524.0
2016,Humanities,Theology and Religious Vocations,2411.0
2016,Intensive English,Intensive English,30309.0
2016,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2281.0
2016,Legal Studies and Law Enforcement,Legal Professions and Studies,13025.0
2016,Math and Computer Science,Computer and Information Sciences,127324.0
2016,Math and Computer Science,Mathematics and Statistics,39856.0
2016,Other Fields of Study,Basic Skills,2847.0
2016,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3763.0
2016,Other Fields of Study,Liberal Arts and Sciences/General Studies,54005.0
2016,Other Fields of Study,Library Science,320.0
2016,Other Fields of Study,Multi/Interdisciplinary Studies,20359.0
2016,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",5299.0
2016,Other Fields of Study,Personal and Culinary Services,979.0
2016,Other Fields of Study,Reserve Officer Training Corps,5.0
2016,Physical and Life Sciences,Biological and Biomedical Sciences,41589.0
2016,Physical and Life Sciences,Physical Sciences,34484.0
2016,Physical and Life Sciences,Science Technologies/Technicians,765.0
2016,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2805.0
2016,Social Sciences,History,2572.0
2016,Social Sciences,Psychology,14912.0
2016,Social Sciences,Public Administration and Social Service Professions,8641.0
2016,Social Sciences,Social Sciences,54116.0
2016,Undeclared,Undeclared,21131.0
2017,Agriculture,Agriculture,7745.0
2017,Agriculture,Natural Resources and Conservation,4728.0
2017,Business and Management,Business and Management,196054.0
2017,Communications and Journalism,"Communication, Journalism",19804.0
2017,Communications and Journalism,Communications Technologies/Technicians,3020.0
2017,Education,Education,17615.0
2017,Engineering,Construction Trades,186.0
2017,Engineering,Engineering,215290.0
2017,Engineering,Engineering Technologies/Technicians,14010.0
2017,Engineering,Mechanic and Repair Technologies/Technicians,567.0
2017,Engineering,Military Technologies,73.0
2017,Engineering,Precision Production,88.0
2017,Engineering,Transportation and Materials Moving,2496.0
2017,Fine and Applied Arts,Architecture,15252.0
2017,Fine and Applied Arts,Visual and Performing Arts,48543.0
2017,Health Professions,Health Professions,34858.0
2017,Health Professions,Residency Programs,311.0
2017,Humanities,English Language and Literature/Letters,4994.0
2017,Humanities,"Foreign Languages, Literatures and Linguistics",7508.0
2017,Humanities,Philosophy and Religious Studies,2608.0
2017,Humanities,Theology and Religious Vocations,1930.0
2017,Intensive English,Intensive English,25845.0
2017,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2247.0
2017,Legal Studies and Law Enforcement,Legal Professions and Studies,14647.0
2017,Math and Computer Science,Computer and Information Sciences,144574.0
2017,Math and Computer Science,Mathematics and Statistics,41429.0
2017,Other Fields of Study,Basic Skills,3058.0
2017,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3793.0
2017,Other Fields of Study,Liberal Arts and Sciences/General Studies,52976.0
2017,Other Fields of Study,Library Science,282.0
2017,Other Fields of Study,Multi/Interdisciplinary Studies,22378.0
2017,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",5404.0
2017,Other Fields of Study,Personal and Culinary Services,822.0
2017,Other Fields of Study,Reserve Officer Training Corps,7.0
2017,Physical and Life Sciences,Biological and Biomedical Sciences,42996.0
2017,Physical and Life Sciences,Physical Sciences,35018.0
2017,Physical and Life Sciences,Science Technologies/Technicians,686.0
2017,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2827.0
2017,Social Sciences,History,2485.0
2017,Social Sciences,Psychology,15462.0
2017,Social Sciences,Public Administration and Social Service Professions,8368.0
2017,Social Sciences,Social Sciences,54566.0
2017,Undeclared,Undeclared,17242.0
2018,Agriculture,Agriculture,8538.0
2018,Agriculture,Natural Resources and Conservation,5216.0
2018,Business and Management,Business and Management,182170.0
2018,Communications and Journalism,"Communication, Journalism",19797.0
2018,Communications and Journalism,Communications Technologies/Technicians,4220.0
2018,Education,Education,16786.0
2018,Engineering,Construction Trades,313.0
2018,Engineering,Engineering,214331.0
2018,Engineering,Engineering Technologies/Technicians,13275.0
2018,Engineering,Mechanic and Repair Technologies/Technicians,605.0
2018,Engineering,Military Technologies,89.0
2018,Engineering,Precision Production,82.0
2018,Engineering,Transportation and Materials Moving,2085.0
2018,Fine and Applied Arts,Architecture,14690.0
2018,Fine and Applied Arts,Visual and Performing Arts,48407.0
2018,Health Professions,Health Professions,35269.0
2018,Health Professions,Residency Programs,177.0
2018,Humanities,English Language and Literature/Letters,4916.0
2018,Humanities,"Foreign Languages, Literatures and Linguistics",7357.0
2018,Humanities,Philosophy and Religious Studies,2673.0
2018,Humanities,Theology and Religious Vocations,2067.0
2018,Intensive English,Intensive English,22026.0
2018,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2322.0
2018,Legal Studies and Law Enforcement,Legal Professions and Studies,14161.0
2018,Math and Computer Science,Computer and Information Sciences,156654.0
2018,Math and Computer Science,Mathematics and Statistics,46807.0
2018,Other Fields of Study,Basic Skills,2790.0
2018,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3951.0
2018,Other Fields of Study,Liberal Arts and Sciences/General Studies,51270.0
2018,Other Fields of Study,Library Science,307.0
2018,Other Fields of Study,Multi/Interdisciplinary Studies,21052.0
2018,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",6008.0
2018,Other Fields of Study,Personal and Culinary Services,671.0
2018,Other Fields of Study,Reserve Officer Training Corps,8.0
2018,Physical and Life Sciences,Biological and Biomedical Sciences,45338.0
2018,Physical and Life Sciences,Physical Sciences,35349.0
2018,Physical and Life Sciences,Science Technologies/Technicians,893.0
2018,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2697.0
2018,Social Sciences,History,2585.0
2018,Social Sciences,Psychology,16139.0
2018,Social Sciences,Public Administration and Social Service Professions,8248.0
2018,Social Sciences,Social Sciences,54651.0
2018,Undeclared,Undeclared,18309.0
2019,Agriculture,Agriculture,7857.0
2019,Agriculture,Natural Resources and Conservation,5277.0
2019,Business and Management,Business and Management,174470.0
2019,Communications and Journalism,"Communication, Journalism",20587.0
2019,Communications and Journalism,Communications Technologies/Technicians,3338.0
2019,Education,Education,15700.0
2019,Engineering,Construction Trades,147.0
2019,Engineering,Engineering,202697.0
2019,Engineering,Engineering Technologies/Technicians,14081.0
2019,Engineering,Mechanic and Repair Technologies/Technicians,587.0
2019,Engineering,Military Technologies,263.0
2019,Engineering,Precision Production,77.0
2019,Engineering,Transportation and Materials Moving,2690.0
2019,Fine and Applied Arts,Architecture,14959.0
2019,Fine and Applied Arts,Visual and Performing Arts,49542.0
2019,Health Professions,Health Professions,34711.0
2019,Health Professions,Residency Programs,223.0
2019,Humanities,English Language and Literature/Letters,4715.0
2019,Humanities,"Foreign Languages, Literatures and Linguistics",7293.0
2019,Humanities,Philosophy and Religious Studies,2896.0
2019,Humanities,Theology and Religious Vocations,2088.0
2019,Intensive English,Intensive English,21301.0
2019,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2071.0
2019,Legal Studies and Law Enforcement,Legal Professions and Studies,14198.0
2019,Math and Computer Science,Computer and Information Sciences,157566.0
2019,Math and Computer Science,Mathematics and Statistics,47641.0
2019,Other Fields of Study,Basic Skills,3481.0
2019,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3891.0
2019,Other Fields of Study,Liberal Arts and Sciences/General Studies,45775.0
2019,Other Fields of Study,Library Science,263.0
2019,Other Fields of Study,Multi/Interdisciplinary Studies,21738.0
2019,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",5963.0
2019,Other Fields of Study,Personal and Culinary Services,669.0
2019,Other Fields of Study,Reserve Officer Training Corps,57.0
2019,Physical and Life Sciences,Biological and Biomedical Sciences,45298.0
2019,Physical and Life Sciences,Physical Sciences,35773.0
2019,Physical and Life Sciences,Science Technologies/Technicians,900.0
2019,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2695.0
2019,Social Sciences,History,2618.0
2019,Social Sciences,Psychology,16984.0
2019,Social Sciences,Public Administration and Social Service Professions,7739.0
2019,Social Sciences,Social Sciences,54404.0
2019,Undeclared,Undeclared,20273.0
2020,Agriculture,Agriculture,7348.0
2020,Agriculture,Natural Resources and Conservation,5012.0
2020,Business and Management,Business and Management,145658.0
2020,Communications and Journalism,"Communication, Journalism",17308.0
2020,Communications and Journalism,Communications Technologies/Technicians,3305.0
2020,Education,Education,15402.0
2020,Engineering,Construction Trades,136.0
2020,Engineering,Engineering,175076.0
2020,Engineering,Engineering Technologies/Technicians,12276.0
2020,Engineering,Mechanic and Repair Technologies/Technicians,326.0
2020,Engineering,Military Technologies,123.0
2020,Engineering,Precision Production,54.0
2020,Engineering,Transportation and Materials Moving,2599.0
2020,Fine and Applied Arts,Architecture,12914.0
2020,Fine and Applied Arts,Visual and Performing Arts,38187.0
2020,Health Professions,Health Professions,31768.0
2020,Health Professions,Residency Programs,700.0
2020,Humanities,English Language and Literature/Letters,3505.0
2020,Humanities,"Foreign Languages, Literatures and Linguistics",6446.0
2020,Humanities,Philosophy and Religious Studies,2845.0
2020,Humanities,Theology and Religious Vocations,1906.0
2020,Intensive English,Intensive English,8355.0
2020,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1950.0
2020,Legal Studies and Law Enforcement,Legal Professions and Studies,9734.0
2020,Math and Computer Science,Computer and Information Sciences,139621.0
2020,Math and Computer Science,Mathematics and Statistics,42485.0
2020,Other Fields of Study,Basic Skills,1170.0
2020,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2851.0
2020,Other Fields of Study,Liberal Arts and Sciences/General Studies,33266.0
2020,Other Fields of Study,Library Science,238.0
2020,Other Fields of Study,Multi/Interdisciplinary Studies,19876.0
2020,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",5728.0
2020,Other Fields of Study,Personal and Culinary Services,775.0
2020,Other Fields of Study,Reserve Officer Training Corps,138.0
2020,Physical and Life Sciences,Biological and Biomedical Sciences,42067.0
2020,Physical and Life Sciences,Physical Sciences,31964.0
2020,Physical and Life Sciences,Science Technologies/Technicians,998.0
2020,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2217.0
2020,Social Sciences,History,2369.0
2020,Social Sciences,Psychology,16196.0
2020,Social Sciences,Public Administration and Social Service Professions,6360.0
2020,Social Sciences,Social Sciences,49277.0
2020,Undeclared,Undeclared,13566.0
2021,Agriculture,Agriculture,7546.0
2021,Agriculture,Natural Resources and Conservation,5179.0
2021,Business and Management,Business and Management,147293.0
2021,Communications and Journalism,"Communication, Journalism",16771.0
2021,Communications and Journalism,Communications Technologies/Technicians,2931.0
2021,Education,Education,15272.0
2021,Engineering,Construction Trades,140.0
2021,Engineering,Engineering,173718.0
2021,Engineering,Engineering Technologies/Technicians,11261.0
2021,Engineering,Mechanic and Repair Technologies/Technicians,353.0
2021,Engineering,Military Technologies,133.0
2021,Engineering,Precision Production,50.0
2021,Engineering,Transportation and Materials Moving,2539.0
2021,Fine and Applied Arts,Architecture,12395.0
2021,Fine and Applied Arts,Visual and Performing Arts,38741.0
2021,Health Professions,Health Professions,31379.0
2021,Health Professions,Residency Programs,673.0
2021,Humanities,English Language and Literature/Letters,3816.0
2021,Humanities,"Foreign Languages, Literatures and Linguistics",6343.0
2021,Humanities,Philosophy and Religious Studies,2838.0
2021,Humanities,Theology and Religious Vocations,2207.0
2021,Intensive English,Intensive English,7358.0
2021,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1853.0
2021,Legal Studies and Law Enforcement,Legal Professions and Studies,11940.0
2021,Math and Computer Science,Computer and Information Sciences,157896.0
2021,Math and Computer Science,Mathematics and Statistics,42405.0
2021,Other Fields of Study,Basic Skills,1581.0
2021,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2329.0
2021,Other Fields of Study,Liberal Arts and Sciences/General Studies,37228.0
2021,Other Fields of Study,Library Science,212.0
2021,Other Fields of Study,Multi/Interdisciplinary Studies,22932.0
2021,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",6095.0
2021,Other Fields of Study,Personal and Culinary Services,544.0
2021,Other Fields of Study,Reserve Officer Training Corps,27.0
2021,Physical and Life Sciences,Biological and Biomedical Sciences,45214.0
2021,Physical and Life Sciences,Physical Sciences,32917.0
2021,Physical and Life Sciences,Science Technologies/Technicians,581.0
2021,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2373.0
2021,Social Sciences,History,2428.0
2021,Social Sciences,Psychology,16832.0
2021,Social Sciences,Public Administration and Social Service Professions,6780.0
2021,Social Sciences,Social Sciences,50357.0
2021,Undeclared,Undeclared,17059.0
2022,Agriculture,Agriculture,7868.0
2022,Agriculture,Natural Resources and Conservation,5593.0
2022,Business and Management,Business and Management,157281.0
2022,Communications and Journalism,"Communication, Journalism",18059.0
2022,Communications and Journalism,Communications Technologies/Technicians,3931.0
2022,Education,Education,15897.0
2022,Engineering,Construction Trades,248.0
2022,Engineering,Engineering,183048.0
2022,Engineering,Engineering Technologies/Technicians,16132.0
2022,Engineering,Mechanic and Repair Technologies/Technicians,361.0
2022,Engineering,Military Technologies,295.0
2022,Engineering,Precision Production,43.0
2022,Engineering,Transportation and Materials Moving,2674.0
2022,Fine and Applied Arts,Architecture,13242.0
2022,Fine and Applied Arts,Visual and Performing Arts,38447.0
2022,Health Professions,Health Professions,33785.0
2022,Health Professions,Residency Programs,1071.0
2022,Humanities,English Language and Literature/Letters,4116.0
2022,Humanities,"Foreign Languages, Literatures and Linguistics",6416.0
2022,Humanities,Philosophy and Religious Studies,3146.0
2022,Humanities,Theology and Religious Vocations,2105.0
2022,Intensive English,Intensive English,10404.0
2022,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2084.0
2022,Legal Studies and Law Enforcement,Legal Professions and Studies,14012.0
2022,Math and Computer Science,Computer and Information Sciences,196727.0
2022,Math and Computer Science,Mathematics and Statistics,43503.0
2022,Other Fields of Study,Basic Skills,3076.0
2022,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2250.0
2022,Other Fields of Study,Liberal Arts and Sciences/General Studies,43067.0
2022,Other Fields of Study,Library Science,103.0
2022,Other Fields of Study,Multi/Interdisciplinary Studies,32496.0
